country,week,cumulative_cases,cumulative_deaths,population,std_cum_cases,std_cum_deaths,lethality,lethality_Q5
Anguilla,1,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,2,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,3,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,4,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,5,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,6,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,7,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,8,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,9,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,10,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,11,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,12,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,13,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,14,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,15,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,16,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,17,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,18,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,19,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,20,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,21,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,22,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,23,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,24,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,25,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,26,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,27,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,28,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,29,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,30,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
Anguilla,31,3,0,15002.0,0.0001999733368884149,0.0,0.0,L1
